Player,Date of Birth
Morgan Boyle,17 July 1996
Tuipulotu Katoa,27 April 1999
Lachlan Lewis,19 August 1996
Jackson Topine,22 August 2001
Dean Britt,17 March 1994
Joe Stimson,2 December 1995
Blake Green,18 September 1986
Ben Marschke,19 June 1997
James Roberts,NA
Zane Musgrove,26 March 1996
Jack Murchie,26 June 1997
Kane Evans,9 January 1992
Paul Turner,NA
Luke Thompson,NA
Brandon Wakeham,11 January 1999
Matt Ikuvalu,9 November 1993
Richard Kennar,10 December 1994
Corey Oates,20 October 1994
Brayden Musgrove,6 March 1998
Morgan Harper,28 August 1998
Tevita Funa,3 January 1998
Liam Knight,15 January 1995
Caleb Aekins,21 November 1997
Kaide Ellis,4 August 1996
Ben Hampton,29 February 1992
Shane Wright,NA
Robert Jennings,NA
Shaun Johnson,9 September 1990
Franklin Pele,18 December 2000
Dale Finucane,7 September 1991
Corey Harawira-Naera,18 May 1995
Ryley Jacks,2 June 1992
Chris Smith,NA
Bradley Deitz,9 March 1995
Ava Seumanufagai,3 June 1991
Talatau Amone,10 April 2002
Steven Marsters,19 October 1999
Jed Cartwright,24 October 1996
Zac Cini,24 May 2000
Javid Bowen,30 March 1993
Zac Saddler,16 June 1999
Will Chambers,NA
Andrew Fifita,28 June 1989
Joseph-Aukuso Sua'ali'i,NA
Herman Ese'ese,7 September 1994
Sam Stone,NA
Daejarn Asi,15 August 2000
Jai Whitbread,16 January 1998
Sam Williams,NA
Waqa Blake,26 October 1994
Albert Kelly,21 March 1991
Keenan Palasia,24 January 1997
Teui Robati,14 November 2001
Dale Copley,29 July 1991
Peter Hola,27 April 1999
Kiah Cooper,NA
Lachlan Fitzgibbon,5 January 1994
Gerard Beale,18 July 1990
Cooper Johns,14 July 1999
Aaron Booth,12 September 1996
Aaron Pene,26 September 1995
Isaac Lumelume,16 April 1998
Jack Johns,NA
Kurt De Luis,18 February 1996
Joe Vuna,31 July 1998
Elijah Anderson,NA
Karmichael Hunt,17 November 1986
Nathaniel Roache,NA
Falakiko Manu,11 May 1997
Bailey Biondi-Odo,6 December 2001
Chris Patolo,23 July 2001
Jordan Grant,22 March 1991
Kane Bradley,3 February 2000
Jaxson Paulo,3 October 1999
Matt Dufty,10 January 1996
Jordan Pereira,NA
Jayden Okunbor,2 March 1997
Watson Heleta,NA
Tepai Moeroa,2 October 1995
Curtis Sironen,31 July 1993
Jackson Frei,27 January 1998
Matt Frawley,24 December 1994
Ryan James,NA
Makahesi Makatoa,30 January 1993
Jirah Momoisea,2 September 1998
Brad Abbey,30 December 1996
Ben Thomas,NA
Moala Graham-Taufa,22 February 2002
Hayze Perham,2 July 1999
Michael Oldfield,NA
Samuel Loizou,25 December 2002
Ky Rodwell,21 June 1999
Tautau Moga,6 December 1993
Tyrone Roberts,1 June 1991
Brenko Lee,10 October 1995
Kevin Naiqama,4 February 1989
Oliver Gildart,6 August 1996
Moses Mbye,13 August 1993
George Burgess,NA
Adam Clune,8 June 1995
Matthew Dufty,10 January 1996
Paul Vaughan,NA
Taylan May,19 August 2001
Lachlan Miller,14 August 1994
Brendan Elliot,1 January 1994
Edrick Lee,18 September 1992
Aaron Woods,13 March 1991
Trent Peoples,22 June 1998
Taniela Otukolo,22 May 2002
Billy Tsikrikas,11 May 1995
Harry Rushton,13 November 2001
Jayden Nikorima,5 October 1996
Fa'amanu Brown,24 December 1994
Zach Dockar-Clay,24 April 1995
Zac Woolford,9 August 1996
Kurt Falls,13 August 1996
Kurtis Morrin,17 March 2000
Ronald Volkman,4 July 2002
Jayden Tanner,25 July 2000
Declan Casey,24 January 2000
Austin Dias,20 May 1998
Deine Mariner,25 April 2003
Tom Chester,11 May 2001
Elie El-Zakhem,NA
Pio Seci,19 August 1993
Alfred Smalley,4 June 1999
James Segeyaro,11 November 1990
Zac Fulton,14 August 2001
Krystian Mapapalangi,4 November 2002
Young Tonumaipea,6 September 1992
Izaac Tu’itupou Thompson,NA
Tom Freebairn,6 November 1995
James Roumanos,10 August 1999
Michael Chee Kam,26 February 1992
Brayden Wiliame,17 December 1992
James Tamou,13 December 1988
Poasa Faamausili,14 February 1996
Mason Teague,13 July 2003
Ryan Rivett,NA
Josh Reynolds,NA
Tariq Sims,9 February 1990
Benjamin Lovett,NA
Reece Hoffman,22 March 2001
Kruise Leeming,7 September 1995
JJ Collins,15 February 1996
Kalani Going,NA
Valynce Te Whare,15 September 2000
Luca Moretti,19 April 2000
Khaled Rajab,NA
Brayden McGrady,13 December 1996
Thomas Jenkins,NA
Tristan Sailor,23 June 1998
Dan Russell,NA
Connor Muhleisen,19 February 2001
Arthur Miller-Stephen,NA
Adrian Trevilyan,7 July 2001
Tom Weaver,NA
Blake Mozer,2 May 2004
Benjamin Te Kura,NA
Luke Sommerton,22 February 2000
Blaize Talagi,16 March 2005
Michael Jennings,NA
Jesse Marschke,19 June 1997
Solomona Faataape,25 December 2000
Aidan Sezer,24 June 1991
Jacob Gagai,20 December 1995
Paul Roache,NA
Solomon Alaimalo,27 December 1995
David Armstrong,NA
Sualauvi Faalogo,19 March 2003
Dion Teaupa,NA
Matthew French,8 July 1981
Lehi Hopoate,26 January 2005
Trent Toelau,NA
Lipoi Hopoi,NA
Heath Mason,NA
Jordan Miller,NA
Ethan King,12 July 2002
Luron Patea,NA
Jake Tago,10 February 1999
Charlie Guymer,NA
Tom Rodwell,NA
Adam Cook,NA
Chris Vea'ila,NA
Va'a Semu,NA
Clayton Faulalo,NA
Caleb Navale,NA
Dan Keir,12 March 1998
Tim Johannssen,NA
Lyhkan King-Togia,NA
Jed Stuart,NA
Kyle McCarthy,NA
Alex Lobb,NA
Eli Clark,NA
Jonathan Sua,NA
Triston Reilly,14 January 1999
Russell Packer,9 October 1989
Darryn Schonig,20 March 1996
Jonus Pearson,28 May 1995
Pride Petterson-Robati,16 June 1995
Laitia Moceidreke,9 June 2000
Valingi Kepu,NA
Jorge Taufua,23 October 1991
Jonathon Reuben,10 March 1993
Zane Bijorac,NA
Joshua Stuckey,24 July 1998
Christian Crichton,12 July 1996
Treymain Spry,29 August 1999
Ethan Quai-Ward,18 August 1999
Brad Morkos,27 February 2003
Cole Geyer,NA
Dane Aukafolau,NA
Bayleigh Bentley-Hape,NA
Alec Tuitavake,NA
Jaylan De Groot,NA
Jamal Shibasaki,7 June 2005
Lorenzo Mulitalo,17 November 1999
Liam Ison,21 December 2004
Keagan Russell-Smith,NA
Tristan Powell,NA
Coby Williamson,NA
Arama Hau,NA
